id_client,first_name,last_name,email,rented_vehicles,direction,active
551771236,Yoshi,Towersey,ytowersey0@arstechnica.com,2,indio-mara,1
338414692,Alla,Scoble,ascoble1@utexas.edu,1,padilla,0
282143722,Jorey,Brewer,jbrewer2@oracle.com,2,fuerzas-armadas,1
470412852,Lebbie,Schiementz,lschiementz3@digg.com,2,libertador,0
355217540,Lisabeth,MacRannell,lmacrannell4@gnu.org,1,la-lago,1
206959320,Noland,Tabbernor,ntabbernor5@mozilla.org,2,padilla,1
477571296,Gilles,Croome,gcroome6@sbwire.com,2,libertador,0
494409539,Danice,Dorian,ddorian7@ucsd.edu,2,indio-mara,1
727858692,Marga,Kittow,mkittow8@eventbrite.com,2,padilla ,0
869585106,Peterus,Danielsohn,pdanielsohn9@gov.uk,2,libertador,0
377089065,Eugine,Condell,econdella@barnesandnoble.com,2,la-lago,0
105166234,Jule,Haxley,jhaxleyb@prlog.org,2,indio-mara,0
344081200,Inigo,Winsom,iwinsomc@hhs.gov,2,padilla,0
838541661,Emmalee,Rothman,erothmand@uiuc.edu,1,fuerzas-armadas,1
543464956,Maximilian,Rove,mrovee@php.net,1,libertador,1
648752607,Gorden,Drever,gdreverf@accuweather.com,2,indio-mara ,1
182309216,Taddeo,Petrelli,tpetrellig@cafepress.com,1,la-lago,0
190785617,Blancha,Priestland,bpriestlandh@gmpg.org,2,indio-mara ,1
564432197,Jarvis,Scotney,jscotneyi@umich.edu,1,padilla,0
267271161,Nealson,Wolfe,nwolfej@zdnet.com,2,libertador,1
167447884,Bernie,Richold,bricholdk@flickr.com,2,indio-mara,1
726376027,Deck,Gregorace,dgregoracel@xrea.com,2,libertador,1
599651404,Rickie,Dibsdale,rdibsdalem@fema.gov,1,indio-mara,1
203684044,Corry,Ridoutt,cridouttn@last.fm,2,fuerzas-armadas,1
509792088,Katha,Gosnall,kgosnallo@youtu.be,2,la-lago,1
885615313,Trevar,Azam,tazamp@prlog.org,2,indio-mara,1
336750104,Amory,Rudham,arudhamq@acquirethisname.com,2,padilla,0
466881846,Lauraine,Cordier,lcordierr@amazon.co.uk,1,indio-mara,0
332679993,Ari,Linzey,alinzeys@epa.gov,1,fuerzas-armadas,0
479920249,Janaya,Caswill,jcaswillt@rakuten.co.jp,1,indio-mara,0
